,prices,rarity,mana_cost,colors,set
1930,12.25,rare,{B}{B}{B}{B},['B'],plc
1931,0.02,common,{4}{G},['G'],aer
1932,1.98,rare,{1}{R},['R'],cmb2
1933,0.09,common,{1}{W},['W'],iko
1934,2.28,common,,[],opca
1935,0.01,common,{3}{R},['R'],cmr
1936,0.01,common,{1}{W},['W'],mid
1937,0.10,common,{2}{W},['W'],ddf
1938,0.02,common,{5}{R}{R},['R'],khm
1939,0.06,common,{1}{R},['R'],nem
1940,0.67,rare,{3}{R}{R},['R'],cmr
1941,0.42,rare,{5}{B}{B},['B'],ths
1942,0.18,common,{1}{R}{G},"['G', 'R']",arc
1943,0.18,common,{2}{U},['U'],mir
1944,0.25,rare,{1}{G},['G'],c18
1945,0.12,uncommon,{3}{U},[],ogw
1946,0.09,common,{1}{U}{U},['U'],5ed
1947,6.55,rare,{2}{B}{R}{G},"['B', 'G', 'R']",c17
1948,0.52,rare,{3}{G},['G'],vow
1949,,rare,,[],vma
1950,0.01,common,{2},[],mid
1951,0.16,uncommon,{2}{B}{B},['B'],ice
1952,0.45,rare,{1}{W},['W'],stx
1953,0.28,rare,{4}{R}{R},['R'],ddl
1954,0.16,rare,{4}{W}{B}{G},"['B', 'G', 'W']",c20
1955,0.20,common,{2}{U},['U'],rna
1956,0.15,uncommon,{X}{U},['U'],tsr
1957,0.09,rare,{3}{G}{G},['G'],ths
1958,0.12,common,{G},['G'],soi
1959,0.31,rare,{1}{G}{U},"['G', 'U']",dis
1960,0.13,uncommon,{4},[],dde
1961,0.05,uncommon,{4}{G},['G'],ddu
1962,0.26,rare,{2}{G},['G'],mic
1963,0.24,uncommon,{4}{B},['B'],mm2
1964,0.24,rare,{1}{G}{U},"['G', 'U']",mid
1965,,common,,[],tust
1966,0.02,common,{1}{R/W},"['R', 'W']",grn
1967,0.02,uncommon,{2}{B}{R},"['B', 'R']",m20
1968,0.05,uncommon,{1}{B}{B},['B'],kld
1969,1.95,common,{2},[],cma
1970,0.14,rare,{2}{R},['R'],mid
1971,2.62,mythic,{B}{B}{R}{R},"['B', 'R']",rtr
1972,0.14,uncommon,{G},['G'],akh
1973,0.28,rare,{7},[],inv
1974,0.51,rare,{4}{G},['G'],ody
1975,4.58,rare,,,znr
1976,1.14,rare,{R}{G}{W},"['G', 'R', 'W']",csp
1977,0.01,common,{5}{W},['W'],mh2
1978,0.08,common,{1}{R},['R'],exo
1979,,common,{1}{R},['R'],vma
1980,0.16,uncommon,{3}{G}{G},['G'],roe
1981,0.02,common,{R},['R'],xln
1982,0.61,uncommon,{2}{R},['R'],mh1
1983,2.11,uncommon,{2}{B}{B},['B'],cma
1984,0.25,rare,{2}{G}{G},['G'],iko
1985,0.23,uncommon,{W},['W'],ths
1986,0.24,rare,{1}{R}{R},['R'],vow
1987,0.24,uncommon,{B}{R},"['B', 'R']",bbd
1988,3.59,rare,{1}{W},['W'],bng
1989,0.06,common,{R},['R'],cns
1990,0.10,uncommon,{3},[],m15
1991,0.01,common,{1},[],thb
1992,8.06,rare,{7},[],uma
1993,0.07,common,{1}{U},['U'],cn2
1994,2.75,rare,{2}{G},['G'],war
1995,0.13,uncommon,{4}{R},['R'],scg
1996,3.00,common,,[],oarc
1997,0.26,rare,{4}{W},['W'],mic
1998,0.22,common,{2}{U},['U'],mmq
1999,0.10,uncommon,{R}{W}{B},"['B', 'R', 'W']",ktk
2000,0.11,common,{R}{G},"['G', 'R']",pls
2001,,mythic,{2}{W}{U}{B},"['B', 'U', 'W']",afc
2002,0.17,rare,{1}{U},['U'],thb
2003,2.81,rare,{5}{W}{W},['W'],c21
2004,0.10,common,{1}{B},['B'],rix
2005,0.15,uncommon,{2}{R},['R'],4ed
2006,0.07,common,{2}{B/R}{B/R},"['B', 'R']",shm
2007,0.10,common,{3}{G},['G'],emn
2008,0.16,rare,{2}{G}{G},['G'],rtr
2009,0.42,common,{1}{U}{B},"['B', 'U']",arc
2010,0.55,mythic,{1}{W},['W'],cmr
2011,0.09,uncommon,{2},[],m12
2012,0.01,uncommon,{3}{W}{W},['W'],vow
2013,4.88,rare,{5}{B}{B},['B'],ima
2014,0.07,uncommon,{B}{G},"['B', 'G']",grn
2015,0.04,uncommon,{3}{G}{G},['G'],rna
2016,0.46,mythic,{3}{W}{W},['W'],mid
2017,0.12,common,{1}{U}{U},['U'],mor
2018,0.04,common,{1}{U},['U'],uma
2019,0.10,common,{X}{U}{B},"['B', 'U']",pls
2020,0.12,uncommon,{1}{G},['G'],pcy
2021,1.76,uncommon,{3}{B}{B},['B'],znc
2022,3.30,mythic,{2}{G}{G},['G'],khm
2023,0.13,common,{1}{G},['G'],10e
2024,0.14,rare,{W}{W},['W'],m21
2025,0.09,uncommon,{3}{W},['W'],jou
2026,1.85,uncommon,{2},[],c21
2027,0.05,common,{1}{U},['U'],mid
2028,0.07,uncommon,{W}{B},"['B', 'W']",mid
2029,0.06,common,{3},[],aer
2030,0.11,uncommon,{4},[],mrd
2031,0.06,uncommon,{3},[],znr
2032,0.13,uncommon,{1}{B},['B'],vis
2033,0.22,uncommon,,['U'],sok
2034,0.27,rare,{3}{W},['W'],ons
2035,0.12,common,{3},[],aer
2036,0.17,uncommon,{5}{G},['G'],akh
2037,0.15,rare,{2}{B}{R},"['B', 'R']",mh2
2038,0.12,uncommon,{W/U}{W/U}{W/U},"['U', 'W']",uma
2039,2.97,mythic,{1}{U}{U},['U'],vow
2040,0.07,common,{1}{U},['U'],tor
2041,2.38,uncommon,{2},[],bbd
2042,0.14,common,,['G'],tarb
2043,,rare,,[],pmoa
2044,0.18,common,{2}{U},['U'],ulg
2045,6.37,rare,{3}{W}{U},"['U', 'W']",c17
2046,0.12,common,{4}{G},['G'],uds
2047,0.15,rare,{5}{R},['R'],emn
2048,0.02,uncommon,{3}{W},['W'],znr
2049,0.34,rare,{5},[],mmq
2050,0.12,uncommon,{2}{W},['W'],dvd
2051,0.25,uncommon,{2}{G},['G'],ugl
2052,,rare,{2}{B}{B},['B'],tpr
2053,0.19,uncommon,{2}{W}{U},"['U', 'W']",khc
2054,0.10,special,{3}{G}{G}{G}{G},['G'],tsb
2055,2.65,rare,{X}{U}{U}{U},['U'],aer
2056,0.01,uncommon,{4}{B},['B'],eld
2057,0.26,common,,[],hou
2058,0.15,common,{1}{B},['B'],m21
2059,37.89,rare,{3}{W},['W'],rna
2060,1.95,rare,{2}{R},['R'],rix
2061,0.04,uncommon,{3}{G}{G},['G'],m20
2062,0.49,uncommon,{1}{G}{W},"['G', 'W']",ema
2063,0.24,rare,{1}{G},['G'],dgm
2064,0.17,rare,{4}{R}{R},['R'],dds
2065,0.06,common,{U/R},"['R', 'U']",eve
2066,9.39,rare,{4},[],c18
2067,11.50,mythic,{3}{B}{B},['B'],ima
2068,,mythic,{4}{W}{W},['W'],m20
2069,0.11,common,{1}{U},['U'],ody
2070,0.14,rare,{3}{U},['U'],znr
2071,0.01,common,{2}{B}{B},['B'],thb
2072,0.15,rare,{2}{B},['B'],afc
2073,0.07,common,{U}{U}{U},['U'],4ed
2074,1.01,rare,{5}{W}{W},['W'],csp
2075,,rare,,[],pmoa
2076,12.49,common,,[],oarc
2077,0.09,common,{3}{R}{R},['R'],chk
2078,0.20,rare,,[],voc
2079,0.11,rare,{2}{W}{U},"['U', 'W']",c18
2080,1.03,rare,{R}{R},['R'],4ed
2081,0.12,common,{3}{B},['B'],som
2082,0.19,uncommon,,[],cns
2083,0.37,uncommon,{0},[],m21
2084,,common,,,astx
2085,0.26,common,,[],tfth
2086,0.20,common,{2}{U},['U'],mm3
2087,20.73,rare,{R},['R'],wth
2088,0.28,common,{1}{U}{B},"['B', 'U']",ddh
2089,0.03,uncommon,{2}{G},['G'],vow
2090,0.10,uncommon,{1}{R},['R'],c21
2091,0.20,rare,{1}{U/R}{U/R},"['R', 'U']",iko
2092,1.04,mythic,{4}{W}{W},['W'],xln
2093,1.77,uncommon,{2}{U},['U'],ori
2094,,common,{2}{G},['G'],vma
2095,,common,{4}{G},['G'],tpr
2096,0.28,rare,{1}{B}{B}{G},"['B', 'G']",war
2097,1.94,common,{2}{G},['G'],c21
2098,0.07,uncommon,{5},[],5dn
2099,,common,{2}{U}{U}{U},['U'],past
2100,0.79,uncommon,{3}{B}{B},['B'],arc
2101,0.05,common,{1}{U}{B},"['B', 'U']",gtc
2102,0.33,rare,{4}{G},['G'],mh1
2103,0.13,rare,{5}{U}{U},['U'],avr
2104,0.21,uncommon,{1}{G},['G'],aer
2105,2.75,common,,[],opca
2106,,rare,{R}{R}{R},['R'],me1
2107,1.05,rare,{G},['G'],xln
2108,0.27,uncommon,{2}{W},['W'],ody
2109,0.19,common,{3}{G},['G'],jou
2110,0.04,common,,[],fjmp
2111,,common,,,aznr
2112,0.02,common,{3}{U},['U'],m11
2113,0.08,common,{2}{W},['W'],nem
2114,9.99,rare,,[],pvan
2115,5.47,rare,{1}{W}{W},['W'],mrd
2116,0.03,common,{G},['G'],m21
2117,0.13,rare,{1}{W},['W'],thb
2118,0.02,common,{4}{R},['R'],avr
2119,,uncommon,{1}{B},['B'],me2
2120,0.22,rare,{4}{G}{G},['G'],m19
2121,0.01,common,{3}{R},['R'],cmr
2122,0.38,rare,{2}{W}{W},['W'],c19
2123,0.67,rare,{2}{G}{G}{G},['G'],chk
2124,0.68,common,,[],oe01
2125,0.38,uncommon,{3}{R},['R'],wwk
2126,0.12,common,{4}{G}{W},"['G', 'W']",pls
2127,1.32,mythic,{2}{B}{G},"['B', 'G']",znr
2128,2.36,mythic,,['R'],tsr
2129,4.19,rare,{2}{B}{G},"['B', 'G']",stx
2130,0.07,common,{1}{W},['W'],soi
2131,0.16,uncommon,{4}{R},['R'],ons
2132,0.09,uncommon,{4}{B},['B'],aer
2133,6.25,rare,{2}{G},['G'],bok
2134,2.30,uncommon,{3}{W},['W'],ema
2135,0.02,common,{1}{R},['R'],jmp
2136,0.61,mythic,{4},[],som
2137,8.16,rare,{4}{G}{G},['G'],jmp
2138,0.89,rare,,,znr
2139,0.30,rare,{2}{W}{W},['W'],lrw
2140,1.63,rare,{G}{G},['G'],dtk
2141,0.17,rare,{3}{R}{R},['R'],dds
2142,0.16,uncommon,{1}{U},['U'],ddm
2143,3.86,rare,{4}{R}{R},['R'],jmp
2144,0.11,uncommon,{2}{R}{R},['R'],ema
2145,,mythic,{4}{W}{W},['W'],m21
2146,0.06,common,{2}{R},['R'],10e
2147,9.10,rare,,[],rna
2148,0.19,uncommon,{2}{U/R},"['R', 'U']",eve
2149,,common,,,tgk1
2150,1.50,rare,{2}{B}{R},"['B', 'R']",ice
2151,0.13,common,{1}{B},['B'],wth
2152,0.04,common,{R},['R'],cns
2153,1.13,rare,{1}{G}{U}{U},"['G', 'U']",a25
2154,0.10,common,{1}{B},['B'],dst
2155,0.01,common,{2}{W},['W'],afr
2156,1.46,common,,[],oarc
2157,0.22,rare,{1}{W}{W},['W'],ons
2158,7.74,mythic,{3}{G}{G},['G'],znr
2159,0.15,uncommon,{2}{U/R},"['R', 'U']",pca
2160,0.01,common,{1}{B},['B'],khm
2161,0.12,uncommon,{2}{B},['B'],avr
2162,0.09,common,{W},['W'],pls
2163,0.74,rare,{1}{R}{R},['R'],mma
2164,0.27,rare,{4}{U},['U'],c21
2165,0.14,common,{3}{W},['W'],mmq
2166,0.59,uncommon,{3}{W},['W'],bng
2167,0.21,common,{G}{G},['G'],unh
2168,1.95,uncommon,{B},['B'],2xm
2169,0.10,common,{W},['W'],rav
2170,0.45,rare,{3},[],c21
2171,,common,,,avow
2172,0.22,uncommon,{3},[],nem
2173,0.15,common,{2}{G},['G'],sok
2174,,common,,,akhm
2175,0.03,common,{2}{G},['G'],bfz
2176,0.01,common,{1}{B},['B'],jmp
2177,1.99,rare,{3}{W},['W'],znr
2178,0.01,common,{2}{U},['U'],stx
2179,0.11,uncommon,{3}{B},['B'],bbd
2180,0.07,common,{B},['B'],6ed
2181,0.30,rare,{1}{R},['R'],akh
2182,1.58,common,{2}{U},['U'],pca
2183,3.19,rare,{3}{B},['B'],m20
2184,0.06,common,{2},[],aer
2185,0.15,rare,{2}{R},['R'],thb
2186,0.01,common,{3}{R},['R'],tsr
2187,0.06,common,{1}{U/R},"['R', 'U']",eve
2188,0.28,rare,{3}{G}{G}{G},['G'],csp
2189,0.34,uncommon,{1}{W},['W'],wwk
2190,0.03,uncommon,{4}{B},['B'],aer
2191,0.14,uncommon,{4}{U},['U'],jmp
2192,,common,,[],wc01
2193,0.15,uncommon,,[],afr
2194,0.57,rare,{2}{R}{R},['R'],sok
2195,0.04,common,{1}{U},['U'],cn2
2196,0.03,uncommon,{2}{R},['R'],bng
2197,0.09,common,{1}{B},['B'],mir
2198,0.10,common,{1}{B/R},"['B', 'R']",shm
2199,0.06,common,{4}{B},['B'],9ed
2200,0.49,rare,{1}{U}{U},['U'],ddt
2201,0.08,common,{5},[],avr
2202,0.14,uncommon,{5}{W},['W'],inv
2203,0.09,common,{3}{B},['B'],exo
2204,,uncommon,{1}{W},['W'],tpr
2205,0.12,common,{B}{G},"['B', 'G']",ddm
2206,0.11,rare,{1}{B}{B},['B'],eld
2207,1.93,rare,{1}{W}{W},['W'],shm
2208,0.05,uncommon,{3}{W},['W'],soi
2209,0.02,common,{B},['B'],mid
2210,,rare,{4},[],me2
2211,0.48,common,{1}{B},['B'],rav
2212,0.01,uncommon,{U},['U'],stx
2213,,common,,,astx
2214,,rare,{B},['B'],me2
2215,,rare,{4},[],y22
2216,0.16,common,{2}{B},['B'],5ed
2217,0.26,rare,{4}{R}{R}{R},['R'],ice
2218,,uncommon,{2},[],me1
2219,,common,,,aafr
2220,1.48,mythic,,,vow
2221,1.72,common,{4}{U},['U'],jvc
2222,0.36,rare,{2}{B},['B'],iko
2223,0.23,uncommon,{B} // {1}{R},"['B', 'R']",hou
2224,0.10,uncommon,{R},['R'],akh
2225,0.21,rare,{4}{U}{U},['U'],dka
2226,0.01,common,{4}{R},['R'],ogw
2227,0.02,uncommon,{2}{W},['W'],c19
2228,1.83,common,{2}{U},['U'],c20
2229,0.25,rare,{4}{B},['B'],ody
2230,,rare,,[],fjmp
2231,0.01,common,{1},[],stx
2232,0.11,common,{0},[],ogw
2233,,rare,{1}{U}{U},['U'],vma
2234,0.44,common,{W/B},"['B', 'W']",eve
2235,0.05,uncommon,{2}{G}{W},"['G', 'W']",mm3
2236,0.16,uncommon,{2}{B},['B'],apc
2237,0.24,uncommon,{W/U}{W/U},"['U', 'W']",cmd
2238,,uncommon,{1}{G},['G'],tpr
2239,6.24,rare,{B},['B'],emn
2240,0.18,uncommon,{W},['W'],iko
2241,0.09,common,{G},['G'],lrw
2242,,uncommon,{2}{G},['G'],me4
2243,0.17,common,{1}{R},['R'],bok
2244,14.61,rare,,[],grn
2245,0.16,common,{1},[],zen
2246,1.15,common,,[],tdag
2247,0.89,rare,{2}{G}{W},"['G', 'W']",arb
2248,0.06,uncommon,{7}{G}{G},['G'],grn
2249,0.18,rare,{1}{R},['R'],ktk
2250,0.10,common,{1}{R},['R'],pls
2251,,common,,,avow
2252,0.10,common,{2},[],som
2253,1.09,rare,{4}{G},['G'],ons
2254,0.07,uncommon,{3},[],dka
2255,0.06,uncommon,{4}{U}{U},['U'],iko
2256,,common,{B},['B'],anb
2257,0.27,common,{G},['G'],jud
2258,0.35,rare,{4}{B}{B},['B'],voc
2259,0.06,common,,[],stx
2260,0.01,common,{4}{G}{G},['G'],tsr
2261,0.31,common,{2}{R},['R'],uma
2262,0.21,uncommon,{3}{W},['W'],shm
2263,,uncommon,{U}{U},['U'],me1
2264,0.11,common,{3}{G},['G'],pls
2265,,rare,{3}{G},['G'],y22
2266,0.22,uncommon,{6}{G}{G},['G'],rav
2267,0.26,rare,{2}{R}{R},['R'],avr
2268,0.01,uncommon,{4}{B},['B'],mh2
2269,,uncommon,,[],tpr
2270,0.03,uncommon,{U},['U'],afr
2271,,mythic,{1}{R}{G}{W},"['G', 'R', 'W']",c19
2272,0.10,uncommon,{3},[],ust
2273,,common,{4}{W},['W'],me3
2274,0.10,common,{2}{G},['G'],ons
2275,0.10,common,{1}{G},['G'],bbd
2276,0.23,uncommon,{5}{W},['W'],unh
2277,12.35,common,,[],tmed
2278,0.09,common,{2}{G},['G'],ima
2279,0.02,common,{3}{W},['W'],m21
2280,,rare,{2}{B}{G},"['B', 'G']",tpr
2281,0.30,uncommon,{B},['B'],ugl
2282,0.44,rare,{3}{B},['B'],mic
2283,0.73,rare,{5}{G}{G},['G'],evg
2284,0.06,common,{4}{W},['W'],shm
2285,0.25,common,,[],tfth
2286,0.21,common,{1}{U}{B},"['B', 'U']",gtc
2287,0.49,rare,{1}{W}{U},"['U', 'W']",arb
2288,0.14,common,{3}{W},['W'],uds
2289,0.07,common,{1}{G},['G'],mh2
2290,0.10,rare,{1}{W},['W'],c20
2291,0.24,rare,{4}{U}{U},['U'],c21
2292,19.16,rare,,[],chk
2293,0.02,common,{3}{R},['R'],dtk
2294,0.07,uncommon,{2}{W}{W},['W'],kld
2295,,uncommon,{U}{U},['U'],me1
2296,0.38,rare,{2}{W},['W'],mmq
2297,0.06,uncommon,{2},[],grn
2298,2.06,rare,{2}{R}{R}{G},"['G', 'R']",iko
2299,0.05,uncommon,{3}{B},['B'],xln
2300,0.24,rare,{1}{R},['R'],afc
2301,,common,{2}{W},['W'],me4
2302,0.24,rare,{6}{G}{G},['G'],c21
2303,1.40,common,,[],opca
2304,0.01,uncommon,{5}{G}{G},['G'],afr
2305,0.05,uncommon,{3}{G},['G'],mh2
2306,5.94,mythic,{1}{U}{B}{R},"['B', 'R', 'U']",c17
2307,0.01,common,{3}{U},['U'],xln
2308,0.34,rare,{5}{U}{U},['U'],jud
2309,0.20,uncommon,{U}{U},['U'],ice
2310,0.02,common,{2}{B},['B'],m12
2311,0.25,uncommon,{2}{R}{G},"['G', 'R']",pca
2312,0.06,uncommon,{2},[],som
2313,0.61,uncommon,{2},[],kld
2314,0.89,common,,[],eld
2315,0.43,rare,{2}{W}{W},['W'],usg
2316,0.01,common,{1}{B},['B'],stx
2317,0.01,common,{2},[],m20
2318,0.46,rare,{3}{U},['U'],c18
2319,0.10,rare,{2}{W}{W},['W'],m19
2320,2.14,rare,{4}{C},[],ogw
2321,0.13,common,{1}{B},['B'],scg
2322,0.04,common,{3}{B},['B'],soi
2323,0.10,common,{2}{B},['B'],mir
2324,0.02,common,{1}{R},['R'],bbd
2325,0.10,common,{3},[],thb
2326,0.49,rare,{2}{G},['G'],xln
2327,,uncommon,{0},[],me1
2328,,common,,,mstx
2329,0.06,common,{1}{R},['R'],9ed
2330,0.03,common,{4}{R},['R'],mrd
2331,,common,{1}{W},['W'],me4
2332,0.53,rare,{2}{W},['W'],voc
2333,0.01,common,{2}{R},['R'],cmr
2334,4.24,rare,{3}{U}{U},['U'],tmp
2335,0.10,rare,{2}{B},['B'],thb
2336,,common,,,avow
2337,0.14,uncommon,{4}{U},['U'],ody
2338,0.12,uncommon,{2}{R},['R'],dis
2339,2.89,mythic,{1}{W},['W'],ema
2340,0.05,uncommon,{3}{R},['R'],bok
2341,2.94,rare,{U},['U'],emn
2342,0.01,uncommon,{2}{U},['U'],khm
2343,,common,,[],tznr
2344,0.05,common,{2},[],zen
2345,0.71,common,{1}{R},['R'],kld
2346,1.55,uncommon,{2}{W}{W},['W'],cn2
2347,0.59,common,{3}{G},['G'],p02
2348,1.89,mythic,{3}{R}{R}{G}{G},"['G', 'R']",znc
2349,0.01,common,{3}{R}{R},['R'],cmr
2350,0.05,common,{1},[],5dn
2351,0.23,uncommon,{W},['W'],m21
2352,0.04,common,{5}{G}{G},['G'],rna
2353,1.24,rare,{2}{U},['U'],2xm
2354,0.09,common,{1}{G}{G},['G'],bok
2355,0.15,uncommon,{2},[],c21
2356,0.20,rare,{3}{U}{U},['U'],pca
2357,,common,{R},['R'],me4
2358,0.96,rare,{2}{B}{R},"['B', 'R']",vow
2359,0.10,uncommon,{3}{W},['W'],ths
2360,0.30,rare,{4}{G}{G},['G'],scg
2361,,common,,,aafr
2362,2.00,rare,{10}{G}{G}{G}{W}{W},"['G', 'W']",rav
2363,5.25,mythic,{3}{B}{B},['B'],war
2364,0.39,uncommon,{6},[],war
2365,0.02,common,{1}{G},['G'],xln
2366,0.16,uncommon,,[],hml
2367,1.16,rare,{2}{G}{G},['G'],all
2368,0.27,uncommon,{3}{W},['W'],pcy
2369,0.13,uncommon,{1}{R},['R'],bbd
2370,0.07,common,{1}{W},['W'],6ed
2371,1.25,rare,,,mid
2372,0.95,mythic,{1}{W}{W},['W'],vow
2373,0.13,rare,{3}{B},['B'],ogw
2374,4.38,rare,,[],mid
2375,0.18,uncommon,{1}{G},['G'],eld
2376,0.03,common,{3}{G},['G'],eld
2377,0.07,common,{3}{R},['R'],mm3
2378,1.49,mythic,{4}{U}{B},"['B', 'U']",c17
2379,57.49,rare,,[],parc
2380,0.23,rare,{X}{X}{G}{G},['G'],stx
2381,17.72,rare,,[],jmp
2382,,common,,,amh2
2383,0.13,uncommon,{3}{B}{B},['B'],a25
2384,0.18,common,{W/B}{U},"['B', 'U', 'W']",arb
2385,,mythic,{2}{G}{G},['G'],gvl
2386,0.07,common,{2}{W},['W'],mir
2387,,common,{3}{G}{G},['G'],me4
2388,0.13,common,{2}{W},['W'],m20
2389,0.57,mythic,{4}{R}{R},['R'],jmp
2390,0.24,uncommon,{1}{R},['R'],cmd
2391,1.34,uncommon,{1}{W}{B},"['B', 'W']",m21
2392,0.15,rare,,,dka
2393,0.42,uncommon,{W},['W'],ddh
2394,0.01,common,{2}{B},['B'],mh2
2395,0.54,rare,{R}{R},['R'],tor
2396,0.07,common,{5}{G},['G'],cn2
2397,0.11,uncommon,,[],voc
2398,0.07,common,{1}{R},['R'],fut
2399,3.27,rare,{4}{W}{W},['W'],khm
2400,0.23,uncommon,{1}{W},['W'],wth
2401,1.23,uncommon,{1}{G},['G'],bok
2402,0.42,rare,{1}{G}{W},"['G', 'W']",rtr
2403,0.06,uncommon,{2}{B},['B'],ori
2404,0.01,common,{2}{R},['R'],rtr
2405,0.18,rare,{7},[],4ed
2406,0.10,uncommon,{3}{U},['U'],ima
2407,0.06,common,{2}{B}{B},['B'],zen
2408,2.95,rare,{6},[],war
2409,0.10,uncommon,{3}{U}{B},"['B', 'U']",khm
2410,0.27,rare,{6}{C},[],ogw
2411,0.07,common,{2}{W},['W'],ths
2412,0.10,uncommon,{2}{B},['B'],m13
2413,0.16,uncommon,{3}{G}{W},"['G', 'W']",mic
2414,0.13,uncommon,{4},[],pcy
2415,0.18,uncommon,,[],cma
2416,0.15,rare,{2}{W}{W},['W'],afc
2417,0.03,common,{1}{U},['U'],grn
2418,1.36,uncommon,{1}{B}{B},['B'],nph
2419,0.29,rare,{3}{R}{R}{R},['R'],10e
2420,,uncommon,{3}{B},['B'],me2
2421,0.24,uncommon,,[],ust
2422,0.06,common,{3}{U},[],ogw
2423,0.25,uncommon,{2}{B},['B'],vow
2424,0.56,rare,{1}{R},['R'],cmr
2425,0.57,common,{2}{B},['B'],tsp
2426,0.11,common,{1}{W},['W'],mir
2427,2.96,rare,{7}{B}{B},['B'],a25
2428,,common,,"['B', 'W']",tc21
2429,0.16,common,{3},[],cmr
2430,2.30,rare,{B}{B},['B'],ema
2431,0.78,rare,{1}{R}{R},['R'],sok
2432,,rare,,[],fjmp
2433,0.02,common,{2}{W},['W'],cmr
2434,15.46,rare,{2},[],c14
2435,0.18,uncommon,{2},[],cns
2436,0.10,rare,{W/U}{W/U} // {3}{W}{U},"['U', 'W']",rna
2437,0.12,uncommon,{2}{U},['U'],ala
2438,,uncommon,{B}{B},['B'],me1
2439,0.61,uncommon,{1},[],bng
2440,0.14,common,,[],hou
2441,0.65,uncommon,{2}{W}{B},"['B', 'W']",ogw
2442,0.50,rare,{3}{B}{G},"['B', 'G']",cmb2
2443,1.16,rare,{1}{U}{B},"['B', 'U']",cns
2444,0.09,uncommon,{1}{W}{U},"['U', 'W']",rtr
2445,0.04,uncommon,{3}{B}{G},"['B', 'G']",mid
2446,0.11,common,{B},['B'],ktk
2447,0.10,uncommon,{3}{R}{R},['R'],avr
2448,0.02,common,{1},[],mid
2449,,rare,{1}{U},['U'],y22
2450,0.24,common,{1}{U},['U'],c18
2451,0.20,uncommon,{2},[],dst
2452,,common,,,amid
2453,,uncommon,{1}{B}{B}{B},['B'],me1
2454,,rare,{6},[],me4
2455,0.01,common,{3}{W},['W'],mid
2456,,common,,[],tkhm
2457,1.12,uncommon,{9},[],uma
2458,0.12,uncommon,{4},[],4ed
2459,0.55,rare,{2}{W},['W'],2xm
2460,0.13,uncommon,{1}{W},['W'],znr
2461,1.89,rare,{R}{G},"['G', 'R']",dtk
2462,0.29,uncommon,{2}{G},['G'],4ed
2463,14.75,rare,{1},[],iko
2464,0.34,rare,{U}{U},['U'],ody
2465,0.10,rare,{1}{B}{B},['B'],mh1
2466,0.15,common,{1},[],som
2467,0.11,uncommon,,[],afc
2468,1.47,rare,,[],cmb2
2469,0.29,uncommon,{1}{R},['R'],cm2
2470,0.25,rare,{3}{R},['R'],hou
2471,0.11,common,{W},['W'],soi
2472,0.09,common,{G},['G'],jud
2473,0.23,uncommon,{3}{U},['U'],jvc
2474,0.17,rare,{6}{G}{G},['G'],c18
2475,0.18,uncommon,{1}{R},['R'],grn
2476,0.03,uncommon,{3}{W}{W},['W'],bng
2477,0.01,common,{3}{U},['U'],eld
2478,0.01,common,{U},['U'],eld
2479,0.22,common,{U},['U'],jvc
2480,0.07,common,{1}{B},['B'],con
2481,3.66,common,,['W'],tths
2482,0.34,rare,{4},[],8ed
2483,0.18,uncommon,{1}{R/G} // {R}{G},"['G', 'R']",rna
2484,0.22,rare,{2}{B},[],bfz
2485,0.05,common,{3}{R},['R'],apc
2486,0.24,uncommon,{5}{B}{B},['B'],por
2487,0.07,uncommon,{1}{U},['U'],kld
2488,,common,,,avow
2489,0.10,uncommon,{5}{U},['U'],gtc
2490,0.37,mythic,{1}{G}{U},"['G', 'U']",c21
2491,0.03,uncommon,{3}{R}{R},['R'],iko
2492,0.12,uncommon,{4}{R},['R'],ust
2493,0.46,common,{R},['R'],mrd
2494,0.75,rare,{4}{B}{B},['B'],war
2495,0.04,common,{1}{U},['U'],stx
2496,0.32,rare,{2}{G},['G'],pls
2497,0.21,rare,{4}{B},['B'],m15
2498,0.02,common,{U},['U'],nph
2499,,common,,,avow
2500,0.12,uncommon,,[],afc
2501,0.07,rare,{3}{R},['R'],c21
2502,2.22,mythic,{2}{B}{B},['B'],ori
2503,0.20,common,{U}{B},"['B', 'U']",c13
2504,0.25,rare,{2},[],cns
2505,0.16,common,{U},['U'],shm
2506,,mythic,{4}{W}{W},['W'],war
2507,0.08,common,{4}{R},['R'],chk
2508,0.95,mythic,{1}{U}{B},"['B', 'U']",ust
2509,0.15,uncommon,{2}{R},['R'],m15
2510,0.01,common,{1}{U},['U'],afr
2511,0.03,common,{2}{B},['B'],m14
2512,0.02,common,{W},['W'],m20
2513,1.66,uncommon,,[],pls
2514,,common,,['W'],tc19
2515,1.05,rare,{U}{R},"['R', 'U']",afr
2516,1.94,rare,{G}{W},"['G', 'W']",c16
2517,,common,,,akhm
2518,0.17,rare,{2}{G}{G},['G'],eld
2519,0.09,common,{2}{B},['B'],vis
2520,0.06,uncommon,{3}{B},['B'],mh1
2521,0.79,mythic,{10}{G}{G},['G'],mh2
2522,0.25,common,{G},['G'],por
2523,0.34,rare,{2}{B}{B},['B'],tsr
2524,0.12,common,{2}{R},['R'],7ed
2525,0.82,rare,{5}{W}{W},['W'],cma
2526,0.02,uncommon,{1}{R}{W},"['R', 'W']",thb
2527,1.45,rare,{1}{W},['W'],uds
